"PVWatts Hourly PV Performance Data"
"Requested Location","昆明"
"Location","Lat, Lng: 25.05, 102.7"
"Latitude (DD)","25.05"
"Longitude (DD)","102.70"
"Elevation (m)","1922"
"DC System Size (kW)","244.44"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","2.3","0.2","0","8","0","0"
"1","1","1","0","0","8","2.3","0.2","0","8","0","0"
"1","1","2","0","0","7.9","2.1","0.2","0","7.9","0","0"
"1","1","3","0","0","7.8","2","0.2","0","7.8","0","0"
"1","1","4","0","0","7.8","1.9","0.2","0","7.8","0","0"
"1","1","5","0","0","7.7","1.8","0.2","0","7.7","0","0"
"1","1","6","0","0","7.6","1.8","0.2","0","7.6","0","0"
"1","1","7","0","0","7.6","1.7","0.2","0","0","0","0"
"1","1","8","234","34","8.6","2.2","0.2","110.172","11.105","20974.646","19262.577"
"1","1","9","0","19","10.1","2.5","0.2","17.622","10.49","3465.335","2373.691"
"1","1","10","4","79","12.3","3.1","0.2","76.174","13.813","15512.608","13994.082"
"1","1","11","183","283","14.4","3.7","0.2","447.498","22.479","92839.318","88580.799"
"1","1","12","439","281","15.8","4.1","0.2","691.155","27.573","141314.353","135338.171"
"1","1","13","677","195","16.6","4.3","0.2","828.918","30.343","168187.067","161258.677"
"1","1","14","869","107","16.8","4.4","0.2","855.387","30.814","174322.324","167176.537"
"1","1","15","456","205","16.4","4.2","0.2","565.431","25.926","117545.49","112411.533"
"1","1","16","82","159","15.5","3.5","0.2","209.427","19.415","43841.274","41318.95"
"1","1","17","194","60","13.5","2.2","0.2","139.729","16.754","28553.201","26572.594"
"1","1","18","0","3","11.7","1.5","0.2","2.776","11.773","436.47","0"
"1","1","19","0","0","10.6","1.5","0.2","0","10.6","0","0"
"1","1","20","0","0","9.8","1.4","0.2","0","9.8","0","0"
"1","1","21","0","0","9.1","1.4","0.2","0","9.1","0","0"
"1","1","22","0","0","8.7","1.5","0.2","0","8.7","0","0"
"1","1","23","0","0","8.7","1.6","0.2","0","8.7","0","0"
"1","2","0","0","0","8.9","1.6","0.2","0","8.9","0","0"
"1","2","1","0","0","8.9","1.4","0.2","0","8.9","0","0"
"1","2","2","0","0","8.7","1.3","0.2","0","8.7","0","0"
"1","2","3","0","0","8.6","1.3","0.2","0","8.6","0","0"
"1","2","4","0","0","8.5","1.3","0.2","0","8.5","0","0"
"1","2","5","0","0","8.4","1.2","0.2","0","8.4","0","0"
"1","2","6","0","0","8.3","1.2","0.2","0","8.3","0","0"
"1","2","7","0","0","8.3","1.1","0.2","0","0","0","0"
"1","2","8","39","31","10.1","2.3","0.2","44.574","11.107","8562.531","7290.273"
"1","2","9","96","99","12","3.2","0.2","151.047","14.966","32007.366","29904.365"
"1","2","10","58","184","14.1","3.8","0.2","225.291","18.114","47052.539","44416.427"
"1","2","11","218","283","15.9","4.2","0.2","475.158","23.88","98245.954","93795.856"
"1","2","12","3","95","17.1","4.3","0.2","91.167","18.604","18039.672","16431.601"
"1","2","13","293","300","17.6","4.4","0.2","589.485","27.22","120134.949","114909.237"
"1","2","14","14","193","17.3","4.4","0.2","196.817","20.506","39884.255","37502.144"
"1","2","15","74","215","16.6","4.1","0.2","272.688","21.246","56312.51","53348.281"
"1","2","16","0","67","15.4","3.2","0.2","62.316","16.62","12528.304","11115.524"
"1","2","17","0","8","13.6","1.9","0.2","7.41","13.784","1376.787","359.149"
"1","2","18","0","1","12.1","1.2","0.2","0.925","12.126","0","0"
"1","2","19","0","0","11.4","1.1","0.2","0","11.4","0","0"
"1","2","20","0","0","11","1.1","0.2","0","11","0","0"
"1","2","21","0","0","10.7","1.2","0.2","0","10.7","0","0"
"1","2","22","0","0","10.6","1.5","0.2","0","10.6","0","0"
"1","2","23","0","0","10.6","1.9","0.2","0","10.6","0","0"
"1","3","0","0","0","10.5","2.2","0.2","0","10.5","0","0"
"1","3","1","0","0","10.3","2.3","0.2","0","10.3","0","0"
"1","3","2","0","0","10.1","2.1","0.2","0","10.1","0","0"
"1","3","3","0","0","9.9","1.8","0.2","0","9.9","0","0"
"1","3","4","0","0","9.8","1.8","0.2","0","9.8","0","0"
"1","3","5","0","0","9.8","2.1","0.2","0","9.8","0","0"
"1","3","6","0","0","9.9","2.6","0.2","0","9.9","0","0"
"1","3","7","0","0","9.9","2.9","0.2","0","0","0","0"
"1","3","8","0","18","10.3","3.4","0.2","16.697","10.614","3174.679","2093.335"
"1","3","9","1","62","10.9","3.7","0.2","58.145","11.954","11963.284","10570.524"
"1","3","10","0","63","11.5","4.2","0.2","58.595","12.484","11861.174","10472.032"
"1","3","11","0","57","11.9","4.7","0.2","53.036","12.73","10568.354","9225.022"
"1","3","12","0","41","12.2","5.1","0.2","38.15","12.767","7455.291","6222.267"
"1","3","13","0","48","12.3","5.3","0.2","44.678","12.947","8774.807","7495.028"
"1","3","14","6","100","12.3","5.4","0.2","98.376","13.71","19977.96","18301.209"
"1","3","15","12","92","12.1","5.4","0.2","94.544","13.458","19368.691","17713.528"
"1","3","16","0","40","11.6","4.9","0.2","37.154","12.17","7446.672","6213.954"
"1","3","17","0","52","10.8","4.2","0.2","49.01","11.626","10025.062","8700.981"
"1","3","18","0","2","10.1","4","0.2","1.85","10.131","287.473","0"
"1","3","19","0","0","9.6","3.9","0.2","0","9.6","0","0"
"1","3","20","0","0","9.2","3.6","0.2","0","9.2","0","0"
"1","3","21","0","0","9","3.4","0.2","0","9","0","0"
"1","3","22","0","0","8.7","3.2","0.2","0","8.7","0","0"
"1","3","23","0","0","8.5","3.2","0.2","0","8.5","0","0"
"1","4","0","0","0","8.4","3.4","0.2","0","8.4","0","0"
